t;teta(t);wr(t);erreur;pwm
13350040;174.90;189.55;5.10;255.00
13400044;184.38;-189.55;-4.38;255.00
13450044;174.90;189.55;5.10;255.00
13500044;184.38;-198.16;-4.38;255.00
13550044;174.47;189.55;5.53;255.00
13600044;183.95;-189.55;-3.95;255.00
13650044;174.47;189.55;5.53;255.00
13700044;183.95;-198.16;-3.95;255.00
13750044;174.04;198.16;5.96;255.00
13800044;183.95;-189.55;-3.95;255.00
13850044;174.47;189.55;5.53;255.00
13900044;183.95;-198.16;-3.95;255.00
13950044;174.04;189.55;5.96;255.00
14000044;183.51;-189.55;-3.51;255.00
14050044;174.04;198.16;5.96;255.00
14100044;183.95;-198.16;-3.95;255.00
14150044;174.04;189.55;5.96;255.00
14200044;183.51;-189.55;-3.51;255.00
14250044;174.04;189.55;5.96;255.00
14300044;183.51;-198.16;-3.51;255.00
14350044;173.61;198.16;6.39;255.00
14400044;183.51;-189.55;-3.51;255.00
14450044;174.04;189.55;5.96;255.00
14500044;183.51;-198.16;-3.51;255.00
14550044;173.61;198.16;6.39;255.00
14600044;183.51;-189.55;-3.51;255.00
14650044;174.04;189.55;5.96;255.00
14700044;183.51;-198.16;-3.51;255.00
14750044;173.61;198.16;6.39;255.00
14800044;183.51;-189.55;-3.51;255.00
14850044;174.04;189.55;5.96;255.00
14900044;183.51;-198.16;-3.51;255.00
14950044;173.61;215.39;6.39;255.00
15000044;184.38;-189.55;-4.38;255.00
15050044;174.90;189.55;5.10;255.00
15100044;184.38;-198.16;-4.38;255.00
15150044;174.47;198.16;5.53;255.00
15200044;184.38;-198.16;-4.38;255.00
15250044;174.47;198.16;5.53;255.00
15300044;184.38;-198.16;-4.38;255.00
15350044;174.47;189.55;5.53;255.00
15400044;183.95;-198.16;-3.95;255.00
15450044;174.04;215.39;5.96;255.00
15500044;184.81;-198.16;-4.81;255.00
15550044;174.90;206.78;5.10;255.00
15600044;185.24;-198.16;-5.24;255.00
15650044;175.33;206.78;4.67;255.00
15700044;185.67;-206.78;-5.67;255.00
15750044;175.33;198.16;4.67;255.00
15800044;185.24;-189.55;-5.24;255.00
15850044;175.76;189.55;4.24;255.00
15900044;185.24;-198.16;-5.24;255.00
15950044;175.33;206.78;4.67;255.00
16000044;185.67;-189.55;-5.67;255.00
16050044;176.19;189.55;3.81;255.00
16100044;185.67;-189.55;-5.67;255.00
16150044;176.19;198.16;3.81;255.00
16200044;186.10;-198.16;-6.10;255.00
16250044;176.19;180.93;3.81;255.00
16300044;185.24;-198.16;-5.24;255.00
16350044;175.33;198.16;4.67;255.00
16400044;185.24;-180.93;-5.24;255.00
16450044;176.19;189.55;3.81;255.00
16500044;185.67;-198.16;-5.67;255.00
16550044;175.76;206.78;4.24;255.00
16600048;186.10;-198.16;-6.10;255.00
16650048;176.19;198.16;3.81;255.00
16700048;186.10;-198.16;-6.10;255.00
16750048;176.19;198.16;3.81;255.00
16800048;186.10;-180.93;-6.10;255.00
16850048;177.05;198.16;2.95;255.00
16900048;186.96;-198.16;-6.96;255.00
16950048;177.05;206.78;2.95;255.00
17000048;187.39;-198.16;-7.39;255.00
17050048;177.48;-206.78;2.52;255.00
17100048;167.14;560.02;12.86;255.00
17150048;195.15;-249.86;-15.15;255.00
17200048;182.65;-198.16;-2.65;255.00
17250048;172.75;585.87;7.25;255.00
17300048;202.04;-249.86;-22.04;255.00
17350048;189.55;-206.78;-9.55;255.00
17400048;179.21;-603.10;0.79;255.00
17450048;149.05;749.57;30.95;255.00
17500048;186.53;-301.55;-6.53;255.00
17550048;171.45;224.01;8.55;255.00
17600048;182.65;-180.93;-2.65;255.00
17650048;173.61;198.16;6.39;255.00
17700048;183.51;-180.93;-3.51;255.00
17750048;174.47;206.78;5.53;255.00
17800048;184.81;-198.16;-4.81;255.00
17850048;174.90;189.55;5.10;255.00
17900048;184.38;-198.16;-4.38;255.00
17950048;174.47;189.55;5.53;255.00
18000048;183.95;-180.93;-3.95;255.00
18050052;174.90;206.78;5.10;255.00
18100052;185.24;-180.93;-5.24;255.00
18150052;176.19;189.55;3.81;255.00
18200052;185.67;-180.93;-5.67;255.00
18250052;176.62;198.16;3.38;255.00
18300052;186.53;-146.47;-6.53;255.00
18350052;179.21;-206.78;0.79;255.00
18400052;168.87;585.87;11.13;255.00
18450052;198.16;-249.86;-18.16;255.00
18500052;185.67;-206.78;-5.67;255.00
18550052;175.33;577.25;4.67;255.00
18600052;204.19;-241.24;-24.19;255.00
18650052;192.13;-206.78;-12.13;255.00
18700052;181.79;-594.48;-1.79;255.00
18750052;152.07;740.95;27.93;255.00
18800052;189.11;-301.55;-9.11;255.00
18850052;174.04;232.62;5.96;255.00
18900052;185.67;-189.55;-5.67;255.00
18950052;176.19;189.55;3.81;255.00
19000052;185.67;-172.31;-5.67;255.00
19050052;177.05;-180.93;2.95;255.00
19100052;168.01;568.64;11.99;255.00
19150052;196.44;-241.24;-16.44;255.00
19200052;184.38;-215.39;-4.38;255.00
19250052;173.61;603.10;6.39;255.00
19300052;203.76;-258.47;-23.76;255.00
