t;teta(t);wr(t);erreur;pwm
21950056;187.39;-137.85;-7.39;255.00
22000056;180.50;-94.77;-0.50;255.00
22050056;175.76;292.93;4.24;255.00
22100056;190.41;-51.69;-10.41;255.00
22150056;187.82;-112.00;-7.82;255.00
22200056;182.22;-241.24;-2.22;255.00
22250056;170.16;318.78;9.84;255.00
22300056;186.10;-68.93;-6.10;255.00
22350056;182.65;-120.62;-2.65;255.00
22400056;176.62;275.70;3.38;255.00
22450056;190.41;-68.93;-10.41;255.00
22500056;186.96;-77.54;-6.96;255.00
22550056;183.08;-275.70;-3.08;255.00
22600056;169.30;327.40;10.70;255.00
22650056;185.67;-86.16;-5.67;255.00
22700056;181.36;-120.62;-1.36;255.00
22750056;175.33;275.70;4.67;255.00
22800056;189.11;-77.54;-9.11;255.00
22850056;185.24;-94.77;-5.24;255.00
22900056;180.50;-267.09;-0.50;255.00
22950056;167.14;327.40;12.86;255.00
23000056;183.51;-77.54;-3.51;255.00
23050056;179.64;-120.62;0.36;255.00
23100056;173.61;327.40;6.39;255.00
23150056;189.98;-77.54;-9.98;255.00
23200056;186.10;-120.62;-6.10;255.00
23250056;180.07;-310.17;-0.07;255.00
23300056;164.56;292.93;15.44;255.00
23350056;179.21;-120.62;0.79;255.00
23400056;173.18;129.24;6.82;255.00
23450056;179.64;-25.85;0.36;255.00
23500056;178.35;-129.24;1.65;255.00
23550056;171.88;241.24;8.12;255.00
23600056;183.95;-137.85;-3.95;255.00
23650056;177.05;94.77;2.95;255.00
23700056;181.79;-137.85;-1.79;255.00
23750056;174.90;129.24;5.10;255.00
23800056;181.36;-60.31;-1.36;255.00
23850056;178.35;-68.93;1.65;255.00
23900056;174.90;232.62;5.10;255.00
23950056;186.53;-94.77;-6.53;255.00
24000056;181.79;-103.39;-1.79;255.00
24050056;176.62;249.86;3.38;255.00
24100056;189.11;-103.39;-9.11;255.00
24150056;183.95;-94.77;-3.95;255.00
24200056;179.21;-275.70;0.79;255.00
24250056;165.42;284.32;14.58;255.00
24300056;179.64;-103.39;0.36;255.00
24350056;174.47;112.00;5.53;255.00
24400056;180.07;-8.62;-0.07;255.00
24450056;179.64;-77.54;0.36;255.00
24500056;175.76;275.70;4.24;255.00
24550056;189.55;-112.00;-9.55;255.00
24600056;183.95;-120.62;-3.95;255.00
24650056;177.91;241.24;2.09;255.00
24700056;189.98;-137.85;-9.98;255.00
24750056;183.08;-103.39;-3.08;255.00
24800056;177.91;-284.32;2.09;255.00
24850056;163.70;292.93;16.30;255.00
24900056;178.35;120.62;1.65;37.12
24950056;184.38;-43.08;-4.38;255.00
25000056;182.22;-180.93;-2.22;255.00
25050056;173.18;241.24;6.82;255.00
25100056;185.24;-137.85;-5.24;255.00
25150056;178.35;-112.00;1.65;255.00
25200056;172.75;292.93;7.25;255.00
25250056;187.39;-34.46;-7.39;255.00
25300060;185.67;-120.62;-5.67;255.00
25350060;179.64;-241.24;0.36;255.00
25400060;167.58;353.24;12.42;255.00
25450060;185.24;-112.00;-5.24;255.00
25500060;179.64;-112.00;0.36;255.00
25550060;174.04;292.93;5.96;255.00
25600060;188.68;-43.08;-8.68;255.00
25650060;186.53;-112.00;-6.53;255.00
25700060;180.93;-241.24;-0.93;255.00
25750060;168.87;361.86;11.13;255.00
25800060;186.96;-120.62;-6.96;255.00
25850060;180.93;-129.24;-0.93;255.00
25900064;174.47;275.70;5.53;255.00
25950064;188.25;-129.24;-8.25;255.00
26000064;181.79;-112.00;-1.79;255.00
26050064;176.19;310.17;3.81;255.00
26100064;191.70;-94.77;-11.70;255.00
26150064;186.96;-112.00;-6.96;255.00
26200068;181.36;-292.93;-1.36;255.00
26250068;166.71;284.32;13.29;255.00
26300068;180.93;-120.62;-0.93;255.00
26350072;174.90;103.39;5.10;255.00
26400072;180.07;-68.93;-0.07;255.00
26450072;176.62;103.39;3.38;255.00
26500072;181.79;-112.00;-1.79;255.00
26550072;176.19;120.62;3.81;255.00
26600072;182.22;-94.77;-2.22;255.00
26650072;177.48;60.31;2.52;255.00
26700072;180.50;-137.85;-0.50;255.00
