Time,X(CH1),
Second,Volt,
8.3599793e-04,1.00000e+01,
8.3999790e-04,1.00000e+01,
8.4399787e-04,9.84000e+00,
8.4799784e-04,9.92000e+00,
8.5199781e-04,9.84000e+00,
8.5599779e-04,1.00000e+01,
8.5999776e-04,9.92000e+00,
8.6399773e-04,9.92000e+00,
8.6799770e-04,1.00000e+01,
8.7199768e-04,1.00000e+01,
8.7599765e-04,9.84000e+00,
8.7999762e-04,9.92000e+00,
8.8399759e-04,1.00000e+01,
8.8799756e-04,9.92000e+00,
8.9199754e-04,9.84000e+00,
8.9599751e-04,9.92000e+00,
8.9999748e-04,9.84000e+00,
9.0399745e-04,9.84000e+00,
9.0799743e-04,9.92000e+00,
9.1199740e-04,9.92000e+00,
9.1599737e-04,9.84000e+00,
9.1999734e-04,1.00000e+01,
9.2399732e-04,9.84000e+00,
9.2799729e-04,1.00000e+01,
9.3199726e-04,9.84000e+00,
9.3599723e-04,9.84000e+00,
9.3999720e-04,1.00000e+01,
9.4399718e-04,9.84000e+00,
9.4799715e-04,1.00000e+01,
9.5199712e-04,9.92000e+00,
9.5599709e-04,1.00000e+01,
9.5999707e-04,1.00000e+01,
9.6399704e-04,9.92000e+00,
9.6799701e-04,1.00000e+01,
9.7199698e-04,9.84000e+00,
9.7599695e-04,1.00000e+01,
9.7999698e-04,9.84000e+00,
9.8399702e-04,9.92000e+00,
9.8799705e-04,1.00000e+01,
9.9199708e-04,9.92000e+00,
9.9599711e-04,9.92000e+00,
9.9999714e-04,9.92000e+00,
1.0039972e-03,1.00000e+01,
1.0079972e-03,9.92000e+00,
1.0119972e-03,1.00000e+01,
1.0159973e-03,9.92000e+00,
1.0199973e-03,9.84000e+00,
1.0239973e-03,1.00000e+01,
1.0279974e-03,9.84000e+00,
1.0319974e-03,9.92000e+00,
1.0359974e-03,9.84000e+00,
1.0399974e-03,9.84000e+00,
1.0439975e-03,1.00000e+01,
1.0479975e-03,1.00000e+01,
1.0519975e-03,9.92000e+00,
1.0559976e-03,9.84000e+00,
1.0599976e-03,1.00000e+01,
1.0639976e-03,9.92000e+00,
1.0679977e-03,1.00000e+01,
1.0719977e-03,9.92000e+00,
1.0759977e-03,9.84000e+00,
1.0799977e-03,9.84000e+00,
1.0839978e-03,9.92000e+00,
1.0879978e-03,9.84000e+00,
1.0919978e-03,1.00000e+01,
